2620587.887821,3723532.512289,2793697.555184,3306475.708552,2554975.106725,3400107.572587,2950401.008351,3394803.074170,2715866.727241,3794282.729342
3723727.720801,3950692.825822,3699803.913819,4039762.876709,3450535.032226,4210814.450994,3685390.816449,4230697.427236,3488714.157253,4135237.828550
2794225.186467,3699700.284125,2447714.604775,2939377.880296,2423540.978705,2967033.828310,2685737.714768,3200090.224997,2813228.980138,3635151.925825
3307058.488720,4038422.080940,2939503.278045,3116506.916358,2889624.625068,3262843.765997,3028761.711435,3546378.142985,3202058.844363,3897576.445739
2555267.725168,3450306.451068,2423683.788828,2889499.835266,2180395.244822,2954945.973724,2553922.845974,3041119.897180,2543526.594216,3441428.367580
3399328.675010,4210458.740185,2967044.466377,3262926.295792,2954982.127581,3231132.358941,3100328.956928,3610518.292224,3386434.385715,4075578.669796
2950099.426862,3685384.578207,2685915.619655,3028727.888416,2553890.333662,3100481.207587,2630250.217087,3341069.342841,2873548.952102,3648485.076705
3394236.204233,4230536.884877,3200058.815334,3546329.319748,3041242.025740,3610455.680823,3341459.091187,3441099.888485,3385924.580558,4139731.780999
2715937.120588,3488677.100329,2813280.162714,3201958.136461,2543423.763925,3386912.980570,2873791.674817,3386268.612624,2440644.744582,3541929.836919
3794180.266957,4134999.012232,3634817.232251,3897475.969775,3441305.786347,4075212.164407,3648350.605554,4139631.752252,3541583.890007,4021115.949732
